iter	MAE
0	766165.2694
1	749779.4172
2	736007.415
3	722721.2836
4	710248.7032
5	697706.8845
6	686734.5048
7	674517.8985
8	663073.5248
9	653168.4124
10	641358.9706
11	631318.1095
12	620036.4503
13	609638.4914
14	600110.2779
15	593565.0112
16	585635.8842
17	578067.3971
18	571260.4467
19	564513.9268
20	556634.5222
21	548743.7352
22	541337.8471
23	533940.6044
24	528041.2881
25	522549.9781
26	516957.2702
27	510520.2462
28	504676.5795
29	499231.8604
30	495323.986
31	490099.2183
32	484790.7222
33	480478.8412
34	475680.032
35	470921.663
36	466976.7295
37	463595.8193
38	459890.4459
39	457251.4953
40	453278.1544
41	449669.1669
42	446526.3863
43	443372.3527
44	440216.758
45	437189.4287
46	433925.2896
47	430326.5273
48	427883.6846
49	424822.0643
50	421707.9154
51	419489.6665
52	416942.4041
53	414408.9699
54	411445.598
55	409114.8066
56	406521.4075
57	404040.7636
58	401871.9145
59	400032.4145
60	397754.263
61	395956.0088
62	394059.6288
63	391946.884
64	389570.8045
65	387540.4686
66	385808.9541
67	383906.4736
68	382008.5778
69	380613.1735
70	379066.6114
71	377032.5615
72	375720.8249
73	374357.2883
74	373123.0567
75	371372.7728
76	369719.5032
77	368660.0441
78	367130.1862
79	365561.8047
80	364923.8388
81	363535.844
82	361999.2995
83	360586.4524
84	359014.636
85	358134.6941
86	357339.3992
87	355907.7445
88	354713.366
89	354014.9245
90	353293.1795
91	352299.9855
92	351447.5492
93	350447.7845
94	349707.3674
95	348733.4999
96	347728.4445
97	346569.8058
98	345593.6074
99	344602.8811
100	343956.8351
101	342925.6195
102	342306.7915
103	341607.7369
104	340936.7796
105	340060.2653
106	339457.4791
107	338585.7797
108	337755.6719
109	337049.2906
110	336551.1825
111	335680.0678
112	335141.0888
113	334441.3198
114	333610.8842
115	332768.9767
116	332203.856
117	331391.8081
118	330561.7894
119	329923.1148
120	329410.598
121	328840.955
122	328156.215
123	327693.5856
124	327169.7695
125	326483.3844
126	325812.8958
127	325325.8087
128	324619.6785
129	324266.7428
130	323708.171
131	323284.1825
132	322789.4396
133	322308.2839
134	321971.667
135	321359.8088
136	321037.1811
137	320406.8093
138	319899.9243
139	319571.7467
140	319090.3802
141	318864.3062
142	318386.2594
143	317976.0872
144	317416.7019
145	316930.1206
146	316648.4805
147	316202.6879
148	315843.6416
149	315189.2712
150	314578.6082
151	314254.2877
152	313866.8694
153	313686.0499
154	313455.0675
155	313084.1529
156	312705.0886
157	312336.4483
158	312194.7708
159	311833.9463
160	311286.4079
161	311031.3537
162	310685.7647
163	310287.9486
164	309966.4356
165	309734.2961
166	309256.6904
167	308890.8795
168	308599.2725
169	308091.7892
170	307775.9352
171	307429.1751
172	307111.9764
173	306703.2856
174	306325.2653
175	305955.8016
176	305639.7992
177	305376.0735
178	305025.6746
179	304916.6322
180	304521.6221
181	304312.1695
182	303905.5969
183	303624.7491
184	303464.2013
185	303248.9973
186	302862.3921
187	302766.8063
188	302495.5559
189	302190.3861
190	301901.2328
191	301561.0894
192	301338.9496
193	301130.5112
194	300909.8745
195	300686.5554
196	300353.2875
197	300233.7521
198	300046.1088
199	299808.7348
200	299611.4796
201	299444.9878
202	299179.6766
203	298836.1932
204	298586.2875
205	298360.6689
206	298063.1064
207	297866.0817
208	297698.3087
209	297553.3456
210	297319.5686
211	297148.2942
212	296839.1788
213	296480.9114
214	296240.3778
215	295957.0234
216	295789.198
217	295499.3898
218	295346.336
219	295118.1794
220	294936.8257
221	294704.0305
222	294556.2017
223	294411.2052
224	294198.7274
225	294036.7539
226	293848.2892
227	293664.6352
228	293466.4126
229	293381.8639
230	293141.4829
231	292974.0526
232	292716.6127
233	292652.3913
234	292492.6856
235	292262.8014
236	292074.2996
237	291810.8827
238	291537.9119
239	291454.0734
240	291186.8195
241	291055.1607
242	290830.4925
243	290685.4197
244	290541.488
245	290334.5803
246	290136.9212
247	289997.017
248	289784.1439
249	289552.3696
250	289460.9898
251	289246.3675
252	289157.6844
253	289046.1803
254	288844.7551
255	288759.6882
256	288702.7559
257	288523.2345
258	288387.7677
259	288168.3764
260	288073.3588
261	287898.3511
262	287761.4363
263	287628.6039
264	287546.0077
265	287374.7574
266	287307.946
267	287091.7596
268	287020.4957
269	286914.1557
270	286701.6863
271	286452.1948
272	286373.3729
273	286216.5261
274	286086.2437
275	285928.4338
276	285762.0779
277	285681.5133
278	285586.1607
279	285311.2066
280	285253.6052
281	285065.4419
282	284915.1581
283	284762.9997
284	284700.5282
285	284630.9273
286	284442.3877
