iter	Passed	Remaining
0	149	299271
1	169	169237
2	190	126899
3	212	106280
4	237	94582
5	255	84984
6	276	78762
7	298	74236
8	317	70255
9	337	67223
10	357	64673
11	375	62244
12	394	60253
13	414	58802
14	435	57593
15	460	57066
16	478	55793
17	497	54780
18	517	53914
19	534	52955
20	552	52051
21	570	51266
22	589	50647
23	607	50045
24	625	49408
25	647	49129
26	668	48853
27	687	48401
28	705	47944
29	724	47582
30	742	47129
31	759	46704
32	777	46331
33	797	46102
34	816	45842
35	832	45435
36	853	45262
37	872	45073
38	894	44979
39	914	44793
40	932	44567
41	951	44357
42	975	44394
43	995	44248
44	1013	44042
45	1032	43861
46	1051	43685
47	1069	43504
48	1088	43327
49	1106	43162
50	1125	43012
51	1143	42844
52	1162	42691
53	1181	42573
54	1201	42474
55	1222	42441
56	1242	42338
57	1261	42235
58	1279	42109
59	1299	42026
60	1318	41905
61	1335	41750
62	1355	41662
63	1373	41534
64	1390	41401
65	1409	41294
66	1427	41181
67	1444	41039
68	1463	40944
69	1484	40936
70	1506	40918
71	1524	40823
72	1542	40728
73	1561	40653
74	1579	40544
75	1597	40447
76	1614	40332
77	1636	40323
78	1655	40252
79	1673	40171
80	1691	40078
81	1710	40010
82	1728	39917
83	1746	39832
84	1764	39758
85	1783	39683
86	1804	39668
87	1821	39584
88	1840	39520
89	1860	39488
90	1881	39480
91	1903	39467
92	1921	39411
93	1941	39357
94	1960	39308
95	1982	39323
96	2003	39313
97	2024	39286
98	2044	39261
99	2064	39219
100	2083	39173
101	2101	39109
102	2119	39031
103	2136	38942
104	2153	38860
105	2170	38781
106	2187	38704
107	2205	38636
108	2223	38580
109	2243	38553
110	2261	38481
111	2281	38461
112	2300	38414
113	2321	38405
114	2340	38369
115	2361	38359
116	2385	38386
117	2406	38374
118	2426	38347
119	2445	38313
120	2466	38308
121	2488	38300
122	2508	38273
123	2527	38237
124	2546	38195
125	2564	38144
126	2584	38109
127	2602	38066
128	2621	38029
129	2640	37989
130	2660	37955
131	2683	37976
132	2704	37959
133	2758	38416
134	2777	38374
135	2813	38557
136	2833	38533
137	2865	38663
138	2887	38662
139	2913	38703
140	2935	38706
141	2955	38677
142	2981	38722
143	3006	38744
144	3026	38722
145	3053	38770
146	3072	38725
147	3093	38712
148	3112	38660
149	3130	38607
150	3148	38553
151	3166	38493
152	3183	38432
153	3201	38381
154	3220	38329
155	3240	38305
156	3259	38266
157	3279	38231
158	3297	38182
159	3316	38141
160	3337	38120
161	3355	38073
162	3375	38045
163	3395	38008
164	3412	37948
165	3433	37938
166	3452	37900
